1,175,17
2,491,59
3,146,106
4,797,67
5,555,92
6,95,56
7,973,91
8,150,97
9,888,86
10,323,33
11,247,102
12,474,86
13,416,46
14,712,102
15,61,55
16,727,74
17,74,62
18,283,41
19,102,8
20,64,8
21,643,61
22,778,85
23,376,68
24,406,30
25,343,58
26,643,11
27,708,30
28,847,91
29,45,12
30,531,96
31,949,8
32,270,80
33,349,82
34,425,83
35,887,68
36,468,63
37,38,110
38,745,57
39,734,22
40,270,38
41,53,39
42,993,27
43,860,80
44,899,79
45,378,47
46,314,67
47,89,38
48,369,57
49,127,97
50,883,105
51,168,47
52,151,19
53,481,37
54,96,75
55,679,57
56,554,63
57,910,36
58,244,67
59,694,7
60,215,105
61,503,108
62,805,66
63,734,41
64,614,74
65,156,92
66,633,61
67,87,44
68,104,59
69,552,101
70,542,104
71,985,82
72,235,88
73,418,96
74,364,94
75,293,6
76,427,105
77,494,16
78,68,22
79,548,70
80,780,62
81,385,49
82,637,41
83,318,58
84,418,96
85,618,7
86,87,60
87,528,86
88,680,95
89,369,72
90,864,74
91,644,19
92,655,15
93,682,57
94,26,62
95,703,108
96,675,59
97,906,26
98,983,14
99,65,68
100,77,81
101,150,40
102,682,97
103,35,101
104,744,26
105,686,110
106,978,104
107,24,9
108,88,61
109,347,102
110,30,31
111,615,53
112,894,57
113,849,44
114,840,85
115,934,105
116,205,70
117,684,101
118,425,86
119,790,103
120,611,67
121,872,52
122,918,24
123,140,15
124,47,89
125,789,48
126,353,57
127,626,100
128,619,8
129,494,105
130,928,44
131,750,81
132,315,7
133,50,86
134,804,35
135,749,20
136,612,7
137,274,80
138,309,44
139,227,95
140,923,84
141,509,92
142,413,102
143,519,29
144,776,107
145,493,28
146,411,67
147,936,68
148,774,59
149,767,63
150,918,49
151,16,89
152,718,7
153,465,7
154,748,86
155,591,57
156,846,37
157,442,64
158,870,20
159,971,80
160,429,6
161,74,68
162,925,85
163,653,90
164,562,96
165,690,106
166,83,93
167,776,22
168,291,74
169,384,93
170,847,5
171,595,53
172,459,41
173,567,105
174,457,108
175,124,79
176,111,13
177,24,89
178,618,100
179,639,11
180,698,90
181,54,52
182,882,79
183,541,8
184,823,39
185,99,11
186,929,110
187,933,92
188,306,75
189,776,57
190,154,59
191,78,64
192,134,9
193,644,48
194,648,90
195,523,20
196,650,55
197,948,73
198,331,5
199,527,102
200,369,101
201,170,18
202,18,27
203,184,81
204,519,25
205,529,103
206,59,28
207,555,97
208,41,91
209,399,74
210,129,38
211,999,68
212,834,94
213,858,108
214,303,88
215,229,71
216,839,67
217,219,107
218,130,67
219,573,79
220,251,78
221,422,106
222,831,110
223,386,19
224,888,36
225,143,8
226,334,101
227,633,94
228,884,29
229,689,66
230,628,6
231,889,44
232,569,18
233,302,106
234,315,72
235,496,7
236,678,15
237,598,46
238,530,63
239,563,49
240,654,79
241,393,7
242,262,88
243,419,9
244,143,79
245,906,55
246,338,108
